id,name,This is the current 'specialisation_id' linked to this practice,This is the current specialisation 'name' linked to this 'specialisation_id',What specialisation_id should this practice be linked to?,What is the respective specailisation name/type of the 'specialisation_id' linked to this practice?,What is the respective Practice Type?,specialisation_id,name,specialisation_name
6227,Life Rosepark Hospital,2,Other,420,General,Hospital,,,
6228,JS Moroko Hospital,2,Other,420,General,Hospital,,,
6229,Urban Optik Eyecare Claremont,2,Other,17,Optometry,Specialist Department,,,
6230,Galamakhe CHC,2,Other,420,General,CHC,,,
6231,Eyecatchers Optometrists Bethlehem,2,Other,17,Optometry,Specialist Department,,,
6232,Openways surgery,2,Other,22,General Surgery,Specialist Department,,,
6233,Wezi`s Health And Wellness,2,Other,420,General,Medical Centre,,,
1612,Robert Mangaliso Sobukwe Hospital,2,Other,420,General,Hospital,,,
6237,Dr Ashiva Maharaj,2,Other,420,General,General Practice,,,
6238,Well Health Pro,2,Other,123,Physiotherapy,Specialist Department,,,
6240,Job Shimankana Tabane Provincial Hospital (Rustenburg Hospital),2,Other,420,General,Hospital,,,
6205,Tsantsabane (Sub-district),2,Other,420,General,Non-medical practice,,,
6254,Moses Kotane (Sub-district),2,Other,420,General,Non-medical practice,,,
6255,Steve Tshwete (Sub-district),2,Other,420,General,Non-medical practice,,,
6209,Caledon Family Medicine (08:00-16:00),16,Family Medicine,16,Family Medicine,Specialist Department,,,
6226,Tygerberg Orthopaedics  (Do Not Use),2,Other,7,Orthopaedics,Specialist Department,,,
6811,UJ Binocular vision clinic - Logbook,1,Ophthalmology,1,Ophthalmology,Specialist Department,,,
6072,"Dr P. I Maphanga (Shop No 8, Ithala, V section, uMlazi)",2,Other,420,General,General Practice,,,
5090,Spec Savers Hartswater,2,Other,17,Optometry,Specialist Department,,,
6925,Stanford Terrace Clinic,2,Other,420,General,Clinic,,,
5129,CJM Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6111,"Dr N Govender (Shop 1, Phoenix Plaza, Parthenon St, Starwood, Phoenix, 4068)",2,Other,420,General,General Practice,,,
5223,"Dr Hilda Ganesen (20 Gainsborough drive, Durban North)",2,Other,420,General,General Practice,,,
557,Steinkopf Clinic,2,Other,420,General,Clinic,,,
5250,Donald Fraser Hospital,2,Other,420,General,Hospital,,,
5261,Dr Yolande Cronje,2,Other,420,General,General Practice,,,
6146,Olifantshoek CHC,2,Other,420,General,CHC,,,
5276,Dr Anna Katerina Cillie,2,Other,420,General,General Practice,,,
6180,Spectacle Select,2,Other,17,Optometry,Specialist Department,,,
5286,Happiness Project - Team 8,239,Happiness Project,37,Psychiatry,Specialist Department,,,
850,"Tygerberg General Paediatrics OPD (8-4pm, non urgent cases only)",28,Paediatrics,28,Paediatrics,Specialist Department,,,
6189,Dr Elroy Mark Foster,2,Other,420,General,General Practice,,,
6193,Dr René Smit,2,Other,420,General,General Practice,,,
6198,Groote Schuur Trials unit,2,Other,420,General,Research Centre,,,
6211,Dr Sanil R Ramdharee,2,Other,420,General,General Practice,,,
6215,Dr Matley & Partners,2,Other,420,General,General Practice,,,
6216,DR MJ Kachelhoffer,2,Other,420,General,General Practice,,,
6225,Port Elizabeth ENT,2,Other,15,Otorhinolaryngology,Specialist Department,,,
6236,Dr M A L Nodada,2,Other,420,General,General Practice,,,
6239,Dr Sennett and Harris,2,Other,420,General,General Practice,,,
6241,Alexander Bay Hospital,2,Other,420,General,Hospital,,,
6242,Sol Plaatje (Sub-district),2,Other,420,General,Non-medical practice,,,
6245,Polokwane (Sub-district),2,Other,420,General,Non-medical practice,,,
6248,Musina (Sub-district),2,Other,420,General,Non-medical practice,,,
6256,Dr Nakanduungile,2,Other,420,General,General Practice,,,
6234,Helderberg Psychiatry (Mon-Fri 09:00-16:00. After hours please refer to the EC),37,Psychiatry,37,Psychiatry,Specialist Department,,,
6299,Bierman Janeke Optometrists,2,Other,17,Optometry,Specialist Department,,,
507,Keetmanshoop District Hospital,2,Other,420,General,Hospital,,,
6300,Dr David Hillel Yesorsky,2,Other,420,General,General Practice,,,
6303,Dr Francois Lotter,2,Other,420,General,General Practice,,,
6305,Dr Bernice Adele Rothman,2,Other,420,General,General Practice,,,
6306,Lalie Cleophas Clinic,2,Other,420,General,Clinic,,,
6307,Dr Piniel Mavengere,2,Other,420,General,General Practice,,,
6308,Adams Farm Home,2,Other,420,General,Medical Centre,,,
6309,Clicks Pharmacy- Kamma Crossing,2,Other,420,General,Pharmacy,,,
6310,Bela Bela Clinic,2,Other,420,General,Clinic,,,
6312,Dr S Behariram,2,Other,420,General,General Practice,,,
6314,Neuro Centre,2,Other,420,General,Medical Centre,,,
6315,Hentie Kock Optometrist,2,Other,17,Optometry,Specialist Department,,,
6316,Dr Marco Cassels,2,Other,420,General,General Practice,,,
6298,Frere Maxillofacial and oral surgery,365,Maxillofacial an Oral Surgery Frere,280,Maxillofacial and Oral Surgery,Specialist Department,,,
6311,Caledon Physiotherapy,379,Caledon Physiotherapy,123,Physiotherapy,Specialist Department,,,
7228,Phila Private Clinic,2,Other,420,General,Clinic,,,
5091,Dr. Khalid Coovadia,2,Other,420,General,General Practice,,,
6076,"Dr Thabo Mndaweni (81 Lancers Road, Durban, 4001)",2,Other,420,General,General Practice,,,
5130,Greytown Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6926,Mhlakulo CHC,2,Other,420,General,CHC,,,
5226,"Dr Ebrahim Chotoo (Umazi medicakl centre, Umlazi plaza, V section, Umlazi 4066)",2,Other,420,General,General Practice,,,
6088,"Dr R Panday (Tom Tom Rd, Kwandengezi, Pinetown, 3607)",2,Other,420,General,General Practice,,,
5251,DRG OPTICAL,2,Other,17,Optometry,Specialist Department,,,
6933,Philani clinic Lady Frere,2,Other,420,General,Clinic,,,
5262,Thelle Mogoerane - General Surgery,22,General Surgery,22,General Surgery,Specialist Department,,,
6106,Kamden CHC,2,Other,420,General,CHC,,,
3272,Dis-Chem Pharmacy North Cape Mall - Kimberley,2,Other,420,General,Pharmacy,,,
5287,Happiness Project - Team 9,239,Happiness Project,37,Psychiatry,Specialist Department,,,
6132,Strydenburg Clinic,2,Other,420,General,Clinic,,,
6133,Valspan Clinic,2,Other,420,General,Clinic,,,
6155,Masakhane Clinic (Northern Cape),2,Other,420,General,Clinic,,,
6199,Momentum Health,2,Other,420,General,Medical Centre,,,
6212,Dr Johannes Breedt,2,Other,420,General,General Practice,,,
6217,Mediclinic Hoogland,2,Other,420,General,Hospital,,,
6235,Helderberg Anaesthesiology,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6243,Emalahleni (Sub-District),2,Other,420,General,Non-medical practice,,,
6257,Zonkizizwe 1 Clinic,2,Other,420,General,Clinic,,,
6258,Dr Keith O'Neal Davidse,2,Other,420,General,General Practice,,,
6259,Dr Sipho Cedric Sishi,2,Other,420,General,General Practice,,,
6263,Dr Kobus Johannes Haarhoff,2,Other,420,General,General Practice,,,
6265,Pharmacy Direct,2,Other,420,General,Pharmacy,,,
6313,Caledon Emergency Centre,32,Emergency medicine,32,Emergency Medicine,Specialist Department,,,
6301,NMFC Students block 2 2021,226,NMFC Rotation,16,Family Medicine,University,,,
6302,NMFC 2022 Facilitators,226,NMFC Rotation,16,Family Medicine,University,,,
3051,"Dr Sheriff Hoosen Moola (curnick ndlovu high way, Inada 4309)",2,Other,420,General,General Practice,,,
5092,"Ameera Hoosen (909/913 Inanda Road,Newlands, Durban)",2,Other,420,General,General Practice,,,
5131,Kokstad Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6087,"Dr Imtiaz Ebrahim Osman (186 Umgeni Road, Stamford Hill, 4001)",2,Other,420,General,General Practice,,,
5227,"Dr Thenesan Pillay (Shop 1, P46 Bhejane Road Kwamashu 4360)",2,Other,420,General,General Practice,,,
6927,Ntafufu Clinic,2,Other,420,General,Clinic,,,
779,Christ the King Hospital,2,Other,420,General,Hospital,,,
5253,Groote Schuur Adolescent centre,241,GSH ACE,28,Paediatrics,Specialist Department,,,
6134,Van Wyksvlei Clinic,2,Other,420,General,Clinic,,,
5288,Happiness Project,2,Other,37,Psychiatry,Specialist Department,,,
6347,SpecSavers Lakeside Mall,2,Other,17,Optometry,Specialist Department,,,
6213,Dr Michael William Peek Inc,2,Other,420,General,General Practice,,,
6934,Sada Clinic,2,Other,420,General,Clinic,,,
6218,Dr Johannes Jurie Jansen van Vuuren,2,Other,420,General,General Practice,,,
6244,Gamagara (Sub-district),2,Other,420,General,Non-medical practice,,,
6260,Torga Optical The Grove Pretoria,2,Other,17,Optometry,Specialist Department,,,
6264,Dr A H Saldulker,2,Other,420,General,General Practice,,,
6317,Optic Edge Spin,2,Other,17,Optometry,Specialist Department,,,
6320,Dr Mugjenkar,2,Other,420,General,General Practice,,,
6321,Garies Hospital,2,Other,420,General,Hospital,,,
6323,Dr J S Cloete,2,Other,420,General,General Practice,,,
6324,Medipost Pharmacy - Cape Town,2,Other,420,General,Pharmacy,,,
6325,Nomzamo CHC Occupational Therapy (07:30 - 16:00 Mon - Fri),124,Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
6328,Elizabeth Donkin Hospital,2,Other,420,General,Hospital,,,
6318,Caledon Speech Therapy,122,Speech Therapy,122,Speech Therapy,Specialist Department,,,
1232,Livingstone Internal Medicine (POC),360,Livingstone Internal Medicine,21,Internal Medicine,Specialist Department,,,
6329,Uluntu Health Inc (Makiwane M M),2,Other,420,General,General Practice,,,
6330,Dr R B Daya,2,Other,420,General,General Practice,,,
6331,Dr D Bass,2,Other,420,General,General Practice,,,
6332,Dr David Malan,2,Other,420,General,General Practice,,,
6333,Dr M.A. Rawoot,2,Other,420,General,General Practice,,,
6334,Katutura Obs & Gynaecology,2,Other,27,Obstetrics / Gynaecology,Specialist Department,,,
6335,King Edward Arthritis Clinic,362,King Edward Hospital Arthritis Clinic,253,Rheumatology,Specialist Department,,,
6337,Dr Naima Belhaj,2,Other,420,General,General Practice,,,
6338,Tshantshabane (Sub-District),2,Other,420,General,Non-medical practice,,,
6339,Nomzamo CHC Physiotherapy (07:30 - 16:00 Mon - Fri),123,Physiotherapy,123,Physiotherapy,Specialist Department,,,
6342,Mariental Hospital Eye Clinic,2,Other,1,Ophthalmology,Hospital,,,
6344,Dr S. Moodley,2,Other,420,General,General Practice,,,
6345,waterberg (Sub-district) Limpopo,2,Other,420,General,Non-medical practice,,,
6348,Dr Sharmila Vassen,2,Other,420,General,General Practice,,,
6349,Chariot Health,2,Other,420,General,Medical Centre,,,
6350,Hoedspruit Family Practice,2,Other,420,General,Medical Centre,,,
6351,Dr Avinesh Ramlal,2,Other,420,General,General Practice,,,
7229,Dr M.E. Paruk,2,Other,420,General,General Practice,,,
5093,"Dr Diagasen Pillay (62 Road 736 Montford, Chatsworth)",2,Other,420,General,General Practice,,,
6078,"Dr Sikhumbuzo Thando Lawrence Mtshengu (2 Arbour Road, Umbogintwini, 4126)",2,Other,420,General,General Practice,,,
5094,"Naushad Joosub (6 Sykes Road, Isipingo, 4110)",2,Other,420,General,General Practice,,,
184,Cecilia Makiwane Orthopaedics,7,Orthopaedics,7,Orthopaedics,Specialist Department,,,
5132,St Apollinaris Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6135,Victoria West Clinic,2,Other,420,General,Clinic,,,
5228,"Dr Bongumusa Mbhele (79 Crompton road, Pinetown,3610)",2,Other,420,General,General Practice,,,
6928,Baziya CHC,2,Other,420,General,CHC,,,
5289,Dr Clyde Green-Thompson,2,Other,420,General,General Practice,,,
6219,CareCross Kimberley (Visser W S),2,Other,420,General,General Practice,,,
6246,Ga-Segonyana (Sub-District),2,Other,420,General,Non-medical practice,,,
6935,Enoch Mgijima Sub District ( Managers Only),2,Other,420,General,Non-medical practice,,,
6340,Tygerberg Medical Genetics (Weekdays 08:00 - 16:00 ONLY),373,Medical Genetics,166,Human genetics,Specialist Department,,,
4578,Dr Lize Alida Coetzee,2,Other,420,General,General Practice,,,
6326,Macassar/Gustrow CHC Occupational Therapy (07:20m-16:00 Mon - Fri),124,Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
6319,Caledon Occupational Therapy (08:00-16:00),124,Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
6336,Dr Juan Marais,2,Other,420,General,General Practice,,,
6343,Otjiwarongo Hospital Eye Clinic,2,Other,1,Ophthalmology,Hospital,,,
6346,ZF Mgcawu (Sub-district) Northern Cape,2,Other,420,General,Non-medical practice,,,
6354,ICD10 data entry for Tygerberg Dermatology,13,Dermatology,13,Dermatology,Specialist Department,,,
6261,Evexia Menlyn,359,EVEXIA Psychiatry,37,Psychiatry,Specialist Department,,,
6322,Robert Sobukwe Urology,143,Urology,143,Urology,Specialist Department,,,
5823,Department Onboarding Request,264,Department Onboarding request,420,General,Vula,,,
5095,Cecilia Makiwane Internal Medicine,2,Other,21,Internal Medicine,Specialist Department,,,
6082,"Dr Artwell Ngidi (245 Henry Pennington Road, Mariannhill, 3610)",2,Other,420,General,General Practice,,,
5133,COSH Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6929,O R Tambo District Office,2,Other,420,General,Non-medical practice,,,
5229,"Dr Siphamandla Zulu (460 Anton Lembede street,Suite 1114, 11th floor)",2,Other,420,General,General Practice,,,
1350,Tyg,2,Other,0,,Other,,,
6096,"Dr. D.S. Shange (Dr A B Xuma St, Durban Central, Durban, 4001)",2,Other,420,General,General Practice,,,
5290,Dr. Henry van Staaden,2,Other,420,General,General Practice,,,
6102,Hoopstad Medi-Care,2,Other,420,General,Medical Centre,,,
6136,Springbok Clinic,2,Other,420,General,Clinic,,,
6220,Thrive Counselling Services,2,Other,125,Psychology,Specialist Department,,,
6221,Dr Jo Schlesinger,2,Other,420,General,General Practice,,,
6247,Ngwathe (Sub-district),2,Other,420,General,Non-medical practice,,,
6341,Specsavers mall of the south,2,Other,17,Optometry,Specialist Department,,,
6356,Dr Raoul Colin Goldberg,2,Other,420,General,General Practice,,,
6357,Marcela Cawood Physiotherapy,2,Other,123,Physiotherapy,Specialist Department,,,
6358,Eenhana eye Clinic,2,Other,1,Ophthalmology,Specialist Department,,,
6359,Dr W Biyana,2,Other,420,General,General Practice,,,
6363,Dr Johannes Frederick Eloff,2,Other,420,General,General Practice,,,
6262,Evexia Midstream,359,EVEXIA Psychiatry,37,Psychiatry,Specialist Department,,,
6361,Tsandi Provincial Hospital eye clinic,2,Other,1,Ophthalmology,Hospital,,,
6362,Huis Luckhoff,2,Other,41,Palliative Care,Specialist department,,,
6365,Maphutha L Malatji Hospital,2,Other,420,General,Hospital,,,
6366,Helderstroom Medium Correctional Services,2,Other,420,General,Correctional Centre,,,
6367,Hartswater Medical and dental clinic,2,Other,420,General,Clinic,,,
6368,Tsumeb Eye clinic,2,Other,17,Optometry,Specialist Department,,,
6369,Cape Joint Surgery,2,Other,22,General Surgery,Specialist Department,,,
6374,Dr Rynold Wayne Domingo,2,Other,420,General,General Practice,,,
6370,Strand Clinic Family Medicine (08:00 - 16:00 Mon - Fri),16,Family Medicine,16,Family Medicine,Specialist Department,,,
6376,R & B Audiology,2,Other,120,Audiology,Specialist Department,,,
6371,Nomzamo CDC Audiology,120,Audiology,120,Audiology,Specialist Department,,,
6372,Dr M Altaf,2,Other,420,General,General Practice,,,
6378,Dr Zaakir Hussein Nakhwa,2,Other,420,General,General Practice,,,
6382,Maitland CDC,2,Other,420,General,CDC,,,
6377,King Edward Maxillofacial and Oral Surgery,279,Maxillofacial and Oral Surgery Referral Form,280,Maxillofacial and Oral Surgery,Specialist Department,,,
6383,Geldenhuys Medical and Dental Surgery,2,Other,259,Oral Medicine,Specialist Department,,,
6384,Dr Schoonbee,2,Other,420,General,General Practice,,,
6385,Dr N Adams Family Practice,2,Other,420,General,General Practice,,,
6327,Kleinvlei/Mfuleni CDC Occupational Therapy (07:30 - 16:00 Mon - Fri),371,Khayelitsha Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
6304,Windhoek Central Hospital Eye Clinic,364,Ophthalmology Namibia,1,Ophthalmology,Specialist Department,,,
6379,Worcester Infectious Diseases (08:00-16:00 Weekdays only),2,Other,169,Infectious Disease,Specialist Department,,,
294,Elizabeth Donkin Psychiatric Hospital,37,Psychiatry,37,Psychiatry,Specialist Department,,,
7230,Robert Mangaliso Sobukwe Hospital Dental Unit,2,Other,259,Oral Medicine,Specialist Department,,,
5134,Ngqusi clinic,2,Other,420,General,Clinic,,,
6083,"Dr Phola Ntsevu (293 Gopalall Hurbans Road  Tongaat, 4399)",2,Other,420,General,General Practice,,,
5230,"Dr Alisha Chunder (429 Chamberlin Road, Jacobs)",2,Other,420,General,General Practice,,,
6931,Tsolo Clinic,2,Other,420,General,Clinic,,,
5291,"Dr Justice Gumede ( 1578 South Coastal road, Mobeni)",2,Other,420,General,General Practice,,,
6097,"Dr F Simjee (276 Sparks Rd, Sydenham, Durban, 4091)",2,Other,420,General,General Practice,,,
6936,Philani Clinic - Queenstown,2,Other,420,General,Clinic,,,
6137,Sarah Strauss Clinic,2,Other,420,General,Clinic,,,
6249,Moqhaka (Sub-District),2,Other,420,General,Non-medical practice,,,
6251,Blouberg (Sub-district) Limpopo,2,Other,420,General,Non-medical practice,,,
6360,Groote Schuur Emergency Psychiatry,366,Groote Schuur Emergency Psychiatry,37,Psychiatry,Specialist Department,,,
6373,Cassim Peer Optometrist,2,Other,17,Optometry,Specialist Department,,,
6375,Long Beach Chiropractic & Wellness Clinic,2,Other,420,General,Clinic,,,
6380,Mr Zeno Rossouw,2,Other,123,Physiotherapy,Specialist Department,,,
6386,Dr Phumela Ottilia Fatman,2,Other,420,General,General Practice,,,
5135,Rietvlei Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6084,"Dr Bongani Michael Ntshingila (Maurice Gumede Drive, Umlazi, 4066)",2,Other,420,General,General Practice,,,
5232,Mapulaneng Paediatrics,28,Paediatrics,28,Paediatrics,Specialist Department,,,
3302,Clicks Pharmacy - Sunninghill,2,Other,420,General,Pharmacy,,,
7231,Torga Optical Westwood,2,Other,17,Optometry,Specialist Department,,,
1996,"Groote Schuur Rheumatology (Only for outpatients referrals, please phone the doctor on call for urgent or inpatient referrals)",253,Rheumatology,253,Rheumatology,Specialist Department,,,
6138,Richmond CHC,2,Other,420,General,CHC,,,
3942,Stanza Bopape CHC,2,Other,420,General,CHC,,,
6142,Pofadder Clinic,2,Other,420,General,Clinic,,,
7234,Dr Hassan Suliman,2,Other,420,General,General Practice,,,
6250,Richtersveld (Sub-district),2,Other,420,General,Non-medical practice,,,
6355,VULA NAMIBIA DEMO,364,Ophthalmology Namibia,1,Ophthalmology,Vula,,,
6387,Lorenzo Meyer Physiotherapy,2,Other,123,Physiotherapy,Specialist Department,,,
6388,Clicks Pharmacy - Melrose Arch,2,Other,420,General,Pharmacy,,,
6389,Dr Murray Rushmere,2,Other,420,General,General Practice,,,
6390,Michael Mapongwana CDC Occupational Therapy (07:30 – 16:00 Mon – Fri),371,Khayelitsha Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
6393,Dr Moeketsi Thothela,2,Other,420,General,General Practice,,,
6394,Dr Otto Frielingsdorf,2,Other,420,General,General Practice,,,
6395,UJ Optometry Logbook,2,Other,17,Optometry,Specialist Department,,,
6396,Pinkwounds,2,Other,3,Burns,Specialist Department,,,
6397,SU Nursing - Slindokuhle Kwani,165,SU Students - Nursing,165,SU Nursing,University,,,
6399,SU Nursing - Yolanda Zwidza,165,SU Students - Nursing,165,SU Nursing,University,,,
6406,Dr Fatima Parker,2,Other,420,General,General Practice,,,
6407,Philip Obermeyer Optometrist Caledon,2,Other,17,Optometry,Specialist Department,,,
6412,Safe Eyes Optometrist,2,Other,17,Optometry,Specialist Department,,,
6413,Pick n Pay Pharmacy Little Falls,2,Other,420,General,Pharmacy,,,
6414,Van der Merwe Optometrists Inc,2,Other,17,Optometry,Specialist Department,,,
6415,Dr F H Naqvi,2,Other,420,General,General Practice,,,
6416,RK Khan Trauma Unit,2,Other,183,Trauma,Specialist Department,,,
6419,Dr Charles Rudzani Maringa,2,Other,420,General,General Practice,,,
6421,Dr Marinus Appelgryn-Siebert Inc,2,Other,420,General,General Practice,,,
6418,doctors@339,2,Other,420,General,General Practice,,,
6420,Dr Alta M Van As Inc,2,Other,420,General,General Practice,,,
6422,Mediclinic Welkom,2,Other,420,General,Hospital,,,
6423,M J Alli Optometrists,2,Other,17,Optometry,Specialist Department,,,
394,Robert Mangaliso Sobukwe Hospital Orthopaedics,7,Orthopaedics,7,Orthopaedics,Specialist Department,,,
6424,Dr WA Crawford,2,Other,420,General,General Practice,,,
6425,Retreat Family Practice,2,Other,420,General,General Practice,,,
6426,Mgwali Clinic,2,Other,420,General,Clinic,,,
6428,Dr. Hennie Gerber,2,Other,420,General,General Practice,,,
6429,Phoenix Pharma (Pty) Ltd,2,Other,420,General,Pharmacy,,,
6430,Danneberg Optometrists Rondebosch,2,Other,17,Optometry,Specialist Department,,,
6431,Dr Suzanne Ferreira,2,Other,420,General,General Practice,,,
6401,SU Nursing - Cristelle Swart,165,SU Students - Nursing,165,SU Nursing,University,,,
6410,Grey's Paediatric Surgery (PMB),374,Paediatric Surgery - PMB,39,Paediatric Surgery,Specialist Department,,,
6417,Cecilia Makiwane Mental Health Unit,37,Psychiatry,37,Psychiatry,Specialist Department,,,
5136,Applesbosh Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
6086,"Dr Stephanus Oosthuizen (337A Gopalall Hurbans Road, Tongaat, 4400)",2,Other,420,General,General Practice,,,
5292,Stanger Hospital,2,Other,420,General,Hospital,,,
7232,Torga Optical The Ridge,2,Other,17,Optometry,Specialist Department,,,
3559,GSH Admin only,4,Cardiology,4,Cardiology,Specialist Department,,,
6140,Progress Clinic,2,Other,420,General,Clinic,,,
6148,Nieuwoudtville Clinic,2,Other,420,General,Clinic,,,
7233,Dr Brauer and Associates,2,Other,420,General,General Practice,,,
6154,Mapule Matsepane Clinic,2,Other,420,General,Clinic,,,
6252,Fetakgomo-Greater Tubatse (Sub-district),2,Other,420,General,Non-medical practice,,,
6391,Site B CDC Occupational Therapy (07:30 – 16:00 Mon – Fri),371,Khayelitsha Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
7235,IDEAL ROTATION - LEARNING FACILITATORS 2022,271,SU Students - Ideal rotation,16,Family Medicine,University,,,
6398,SU Nursing - Ramona Anthonie,165,SU Students - Nursing,165,SU Nursing,University,,,
6937,All Saints Gateway Clinic,2,Other,420,General,Clinic,,,
6408,Philip Obermeyer Optometrist Grabouw,2,Other,17,Optometry,Specialist Department,,,
6381,Helderberg Psychology (HH in-patient referrals only (09:00 - 14:00). Refer to EC for emergencies),125,Psychology,125,Psychology,Specialist Department,,,
6427,Inkosi Albert Luthuli Central Hospital - Plastic Surgery,2,Other,419,Plastic Surgery,Specialist Department,,,
6411,"Frere Neurosurgery (For emergency referrals, please send a Vula referral and phone)",376,Frere Neurosurgery,18,Neurosurgery,Specialist Department,,,
6938,Enoch Mgijima Sub District,2,Other,420,General,Non-medical practice,,,
5137,Christ the king Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
5293,Tygerberg - Plastic & Reconstructive Surgery,2,Other,419,Plastic Surgery,Specialist Department,,,
6090,"Dr. DV Perumal (2 Finemanor Close Trenancemanor,Phoenix, Durban, 4068)",2,Other,420,General,General Practice,,,
6091,"Dr Sizwe Zulu (C1521 Isipingo Road, Kwamashu, 4359)",2,Other,420,General,General Practice,,,
7236,IDEAL Student rotation 2022,2,Other,16,Family Medicine,University,,,
6141,Port Nolloth Clinic,2,Other,420,General,Clinic,,,
1560,Life Wilgers Hospital,2,Other,420,General,Hospital,,,
6253,Mogalakwena (Sub-district),2,Other,420,General,Non-medical practice,,,
6392,Nolungile (Site C) CDC Occupational Therapy (07:30 – 16:00 Mon – Fri),371,Khayelitsha Occupational Therapy,124,Occupational Therapy,Specialist Department,,,
6400,SU Nursing - Shantel de Lange,165,SU Students - Nursing,165,SU Nursing,University,,,
1561,Optic Edge Parow,2,Other,17,Optometry,Specialist Department,,,
6409,Philip Obermeyer Optometrist Kleinmond,2,Other,17,Optometry,Specialist Department,,,
6432,Dr Mohamed Mogsin Kasker,2,Other,420,General,General Practice,,,
6435,Dr Jacques Botha,2,Other,420,General,General Practice,,,
6436,Dr A M Oosthuizen Inc,2,Other,420,General,General Practice,,,
6437,Neovision Optometrist Walmer Park,2,Other,17,Optometry,Specialist Department,,,
6438,King Edwards Pulmonary,378,King Edwards Pulmonary Function Request,188,Pulmonary,Specialist Department,,,
6440,Britstown PHC,2,Other,420,General,PHC,,,
6441,Seawinds Clinic,2,Other,420,General,Clinic,,,
6443,Dr Gail Davids,2,Other,420,General,General Practice,,,
6445,Ntabeni Clinic,2,Other,420,General,Clinic,,,
6446,NMFC block 3 (2021),226,NMFC Rotation,16,Family Medicine,University,,,
6447,Worcester Emergency Centre,2,Other,32,Emergency Medicine,Specialist Department,,,
6448,P Z Meyer TB Hospital,2,Other,169,Infectious disease,Specialist Department,,,
6449,Johannesburg Vision Institute,2,Other,1,Ophthalmology,Specialist Department,,,
6451,Gasgonyane (Sub-district) Northern Cape,2,Other,420,General,Non-medical practice,,,
6452,N H Optometrist,2,Other,17,Optometry,Specialist Department,,,
6453,Victoria Hospital Occupational Therapy,2,Other,124,Occupational Therapy,Specialist Department,,,
6454,Velddrif Medical Centre,2,Other,420,General,Medical Centre,,,
6455,Wayne Smith Optometrist,2,Other,17,Optometry,Specialist Department,,,
6456,Lamontville Clinic,2,Other,420,General,Clinic,,,
6457,Scottish Livingstone Hospital,2,Other,420,General,Hospital,,,
6458,Dr Margot Steenkamp,2,Other,420,General,General Practice,,,
6460,Dr A C Dhansay,2,Other,420,General,General Practice,,,
6461,Dr Nicolas Thackwray and Associates,2,Other,420,General,General Practice,,,
6463,Dr Gisela Wagenaar,2,Other,420,General,General Practice,,,
6464,Khanyisa Crossroads Pharmacy,2,Other,420,General,Pharmacy,,,
6466,Dr Johan le Roux,2,Other,420,General,General Practice,,,
6467,Bitterfontein Satellite Clinic,2,Other,420,General,Clinic,,,
6469,Prince Mshiyeni Casualty,2,Other,32,Emergency Medicine,Specialist Department,,,
6439,Dora Nginza Neonatology,154,Neonatology,154,Neonatology,Specialist Department,,,
459,"Groote Schuur Cardiology (Elective Referrals Only, FOR EMERGENCIES CALL 073 988 8566 or 021 404 2020)",4,Cardiology,4,Cardiology,Specialist Department,,,
5138,Emmaus Anaesthetic Referrals,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,,,
5294,Stanger Hospital SWITCH QI Team,2,Other,0,,Other,,,
6092,"Dr. L.D. Ramiah (5 Motala road,Wyeband,3602)",2,Other,420,General,General Practice,,,
3423,Eastern Cape EMS,2,Other,32,Emergency medicine,Specialist department,,,
5296,Dr Omar Omar,2,Other,420,General,General Practice,,,
6939,Zwelichumile Clinic,2,Other,420,General,Clinic,,,
5300,Factreton Clinic,2,Other,420,General,Clinic,,,
5306,Tanya Seeber Optometrist,2,Other,17,Optometry,Specialist Department,,,
6099,"Navin Sunichur (Shop 4 Clairwood Medical Centre, 622 South Coast Road, Clairwood, 4052)",2,Other,420,General,Medical Centre,,,
6143,Platfontein Clinic,2,Other,420,General,Clinic,,,
6940,Pharmcare Primary Health,2,Other,420,General,Medical Centre,,,
6144,Phutanang Clinic,2,Other,420,General,Clinic,,,
6402,SU Nursing - Rohen Barker,165,SU Students - Nursing,165,SU Nursing,University,,,
6525,Grey's Plastic Surgery,419,Plastic Surgery,419,Plastic Surgery,Specialist Department,,,
